Essay Number,Organization,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Prompt,essay,n_score
BGSU1001,3.0,3.5,2.0,2.0,3.0,2.5,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
It is time, that our society is dominated by industrialization. The prosperity of a country is based on its enormous industrial corporations that are gradually replacing men with machines. Science is highly developed and controls the economy. From the beginning of school life students are expected to master a huge amount of scientific data. Technology is part of our everyday life.
Children nowadays prefer to play with computers rather than with our parents' wooden toys. But I think that in our modern world which worships science and technology there is still a place for dreams and imagination.
There has always been a place for them in man's life. Even in the darkness of the Middle Ages when religion confined the human mind in the cage of its dogmas, men dreamt of a better life.
They dreamt of exploring the unknown depths of earth and sea, of flying into the sky and reaching the stars. Step by step society has freed itself from the restrictions of religion and science has become the dominant power. Nowadays some people see in its dominance a threat to man's inclination to dreaming. But man could dream in the darkest past, so why could he not dream now?
Man has always dreamt of going beyond the world he knew. Science has made the unknown world too small but man keeps on dreaming. He turns to books to find his new inspiration. People nowadays read not less than they did in the past. Besides they still create literature which means they are still capable of creating new imaginary worlds. People still use their imagination to paint pictures and to compose music. Art is still alive. And society feels necessity for this art because people enjoy escaping to other worlds, even if they are not real.
Moreover, I cannot imagine that people have lost their ability of creative thinking. People have always had the gift of imagination. I cannot agree with the statement that because of the dominance of science and technology, there is no place for this gift. How would all the technological achievements and scientific breakthroughs been made, if man had not used his imagination? It is because of his imagination and his constant dreaming that man has achieved so much in science. The fact that science never stops developing is a proof that man never stops using his imagination.
I am sure that man keeps on dreaming. There is not much space left to be explored but in every field of human life there will always be some kind of a frontier and people will always dream of going beyond it. Maybe industry has taken the place of nature and maybe romanticism is dead but psychologists go on asking the question: ""Whom or what would you like to take with you on a lonely island?"" And people go on dreaming that they will spend their lives like Robinson Crusoe with their favourite show-business star, or favourite pet or book but not with their personal computer.
",0.6666666666666667
BGSU1002,3.0,3.0,3.0,3.0,4.0,4.0,Most University degrees are theoretical and do not prepare us for the real life. Do you agree or disagree?,"
Nowadays there is a growing interest in higher education and almost every young person wishes to have a university diploma. I would not say that university degrees are useless; of course, they have their value but I think that the university courses are rather theoretical. They do not prepare students for the real life outside the university walls. The courses deal mainly with theoretical problems and general concepts. The specialization begins quite late, the practice is inadequate and is not always up to the requirements that real work will set to the students after they leave the university.
In my opinion most of the courses taken by first and second year students aim at acquiring general knowledge, instead of specialized which the students will need in their later study and work. General knowledge is not a bad thing in principle but sometimes it turns into a mere waste of time. I could point out as an example the course in Latin I took last year. I must say I have forgotten everything I once knew, just because I think I will never need Latin in my future work.
So, is it not more useful to spend a year studying a modern language?
Besides being oriented towards general knowledge some of the courses are too theoretical. A
good example is the course in Informatics that first year students take.Computers are becoming more and more important in our life and today every educated person is expected to be able to work with computers.The university course, however, dealt more with theoretical problems rather than with actual computer skills. The lectures we had were quite useless for people with no technical education and instead of trying to memorize incomprehensible data we could have spent more time working with the computers.
Another problem that students of foreign philologies are confronted with is the lack of opportunity to practice the language in a country where it is spoken. Students in law and medicine, for example, have one year of practice before starting work but students in philology do not have many chances to live and study abroad. Something that puzzles me when speaking about practice, is the fact that you can specialize in literature, linguistics or translation but you have compulsory practice in teaching. This practice is obviously of no importance to students who have no intention of becoming teachers.
In my opinion university education deals with too much theory and not enough practice. Students have to study subjects which are not closely related to the subject they want to specialize in. They have to study in details how things are done but sometimes they do not have the opportunity to do them themselves. That is why some students feel that the university does not prepare them for real life. Moreover, young people can see examples of men who have succeeded in their business and in life in general without university degrees, which is a kind of a proof of the saying that life is the best teacher.
",0.6666666666666667
BGSU1003,2.5,2.5,,,,,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
Once upon a time there lived a beautiful young lady and a handsome young gentleman. They were in love and wanted to get married but their parents objected to the marriage because they were very poor. They said that they would allow them to marry when they got good jobs with good prospects. So the young people waited until they got good jobs with good prospects and got married. But they were still poor and did not have any house to live in. But large organization lent them money to buy a house with all the latest electrical appliances and furniture. They even managed to pay off their debts and to insure their lives and property in some prosperous insurance companies such as SIC or VIS-2. The young couple lived happily for the rest of their life. And so ends another modern romantic fable.
Who tells you that in our modern world dominated by science, technology and industrialization, there is no longer a place for dreaming and imagination. Our materialistic society trains us from childhood to be acquisitive. We acquire knowledge, skills of money making, we acquire even knowledge of how to dream and imagine. Any other form of imagination that the materialistic one is looked on as a fable or a fairy tale. We do not believe in things which we cannot touch with our own hands or see with our eyes. Science and industrialization teach us that there is no God. One should believe only in material possessions that are real and not imaginary. Success is measured in terms of the money we earn or on the basis of our achievements in science, technology and industrialization.
""Science and technology"" is the future religion of the world. If it says that there is no place for dreaming then one should lock up his imagination and restrict his dreams to the sphere of making more money.
It is not only in affluent societies that people are obsessed with the idea of making more money.
Consumer goods are needed everywhere and modern industry deliberately sets out to create new markets. Goods are made not to last forever. You no sooner buy a new product than you are thinking about its replacement. ""Mammon"" as Carlyle names the industrial world has spread out its influence everywhere as an octopus spreads out its tentacles. While Mammon is worshipped and the Gospel of Mammomism is obeyed as never before, the rich get richer and the poor poorer.
The industrial outlook has seriously influenced education. Its effect is so powerful that students are left without any hope for dreaming and imagination. Fewer and fewer students acquire knowledge for the sake of studying. Every course of study must lead to fields in the sphere of science, technology or industry. Even to literature is given scientific explanation. The supply of skilled personnel far exceeds the demand but people are still taught to think that more and more pioneers in the sphere of science are needed. recruiting tactics of different companies have led to the ""brain drain"", the process of which skilled people offer their services to the highest bidder.
Workaholism has deprived young people of any imagination or dreaming.
Our industrial world also tries to organize some sort of social orderlines out of apparently inevitable chaos. A lot of -isms are discussed nowadays - individualism, liberalism, pluralism, nationalism, utilitarianism. Even some sort of new moralism is imposed on modern man.
However, while some people are in a hurry to organize their lives at the expense of others, they do not realize that time passes quickly. While they are trying to adapt means to ends "" they themselves are becoming slaves to the power that they want to exert. People become means for the fulfillment of that old prophets and wiser men have foreseen and prophesied.
""In the last days perilous times shall came. For men shall be lovers of their own selves, covetous, bosters ...""
All these things are tone Industrial societies run the risk of being caged in mechanism and people are becoming merely the sum of mechanical processes. They are conditioned to ask only the ""answerable"" questions.
What becomes with the romance fable. They paid off their debts and lived happily for the rest of their lives. Why did they live happily? Because they possessed all the latest electronic appliances. What happened when they died? This is a question without an answer. It spoils the whole story. Yet the story ends up happily. But does this happiness last forever? It is limited in time. What is happiness then? I'd better not ask any more questions or I run the risk of spoiling this modern romance fable.
",0.49999999999999994
BGSU1004,3.0,3.0,3.0,3.0,2.5,3.5,Most University degrees are theoretical and do not prepare us for the real life. Do you agree or disagree?,"
Our educational system in one of the largest in the world. It offers variety, diversity but not flexibility and value for money. This is due to the fact that many of our university degree courses are either illegal or award the students with jobless future. They do not motivate students to make further research Undergraduates are looking forward to receive their degrees for the sake of some future reward.
University degrees are necessary in out materialistic society. However degree levels in vocational subjects, such as art and design, engineering, business studies, and hotel and catering, do not have a future. The role of university degrees has been replaced by the fact that they tell you nothing about a person's true ability and aptitude. They are mark either of success or failure.
Furthermore they are theoretical and do not prepare students for real life.
A good education should, among other things, train you to think for yourself. The examination system does anything but that. What has to be learnt is laid down by a syllabus and students are encouraged to memorize. Examinations do not motivate students to make research and read widely, they induce studying for marks instead. They lower the standards of teaching and lead to theoretical degrees that are designed to be put in a frame and to serve as souvenirs.
The most successful Bachelors and Masters or PhDs are not always the best educated. They are the best trained in the technique of working under stress. They live in a world of vicious competition where success and failure are measured. University degrees do anything but prepare them for this competition. They do not prepare students to think for themselves and make their own research on a given subject. They put restrictions to their sphere of knowledge and do not give them any opportunity to widen the already existing theory or amend some of the old things and add some new information.
Degrees which can be completed in a shorter period of time, the so called ""fast-track"" degree courses are even less practically oriented. Standards are rigorous yet students tend to memorize information and creative work is left behind. Another important point that should be made is the fact that many ""fast-track"" degree courses do not reflect and adopt to the needs of real life or professional bodies. One might have many degrees of this kind but what is the point of having them if he cannot put into practice his knowledge.
Many university degrees are a result of a subjective assessment by some examiner who marks stacks of hastily scrawled scripts in a limit amount of time. Students even do not have right to appeal after their examiner's decision. That is why many capable students turn into drop-outs and drop-outs turns into millionaires.
In conclusion I would like to say that only when the university degree courses become more practically oriented and not so theoretical will university degrees have any value and adapt to the need of real life. Furthermore students will be encouraged to make some research on their own, to chose postgraduate courses and to get postgraduate degrees.
",0.6666666666666667
BGSU1005,3.0,3.0,,,,,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
Science, technology and industrialization are the characteristic features of our world. With the introduction of machinery in the performance of our everyday tasks many changes have occurred both in our values and in our lifestyle. The main function of the achievements has been to facilitate us but it has also brought about many problems. One of them concerns out imagination.
The innovations have left us with little time and opportunity to dream. Nevertheless, people must fight for their right of indulging in illusions because they are one of the only things left which can help us survive.
The industrialization has greatly influenced our lives as human beings. Before the technological breakthrough people had a completely different way of life and of looking at it. Other things were considered critical for their survival, not machines. Most important of all was the conscious that if it had not been for their work and resourcefulness humankind would not have made the achievements and acquired the skills which we have now. Indeed, it is through hard work and the possibilities of our brain that scientists claim we have evolved. Nevertheless, this does not prevent us from doing wrong with the good.
The whole concept of man is now changed due to the development of the sciences. Although the technical revolution has provided us with means of facilitating our work and, as a whole, making our lives much easier, it has failed at one aspect which, according to me, is the most significant one - the human soul. It is of what the industrialization has deprived us. Many people nowadays do not use their inventiveness or creativity to earn their bread. Rather, they are equalled to mere assistants to machines with the only duty to help and supervise their work. If before there has been more need of workers now the reverse situation can be observed. People are becoming jobless because they are no longer needed in their working places. This mars their self- confidence and influences their whole being. Yet, there is still hope.
People find support in their dreams. They create a world of their own, with no machines present in it. It is absolutely free from evil. The relations between people are in perfect condition.
Everybody is willing the help the others and is not preoccupied with their own well-being. It is, in a way, a nostalgic look back at the time preceding the industrial revolution, when man was in harmony with nature and with him- or herself. This illusive world provides them with an escape from the brutal reality, where there is little happiness. People try to find hope and comfort in their dreams. They look upon the imagination as a source of strength with which they would continue their struggle with life.
Nevertheless, despite they escape from the industrialization which people seek in their imagination, there is still another point which connects the two. Before the technological breakthrough many people have visualized the innovations of their dreams: how they would travel fast, fly, etc. It was the industrial revolution which made it possible for their dreams to come true.
Therefore, our civilization now represents our ancestors' dreams although plus their disadvantages, which they had not taken into account.
As a whole, I would like to emphasize how desperately we need our dreams. They are the ones which will help us face the difficulties we encounter throughout our lives. The imagination will help the human mind survive in this crazy industrial world.
",0.6666666666666667
BGSU1006,2.5,3.0,,,,,Most University degrees are theoretical and do not prepare us for the real life. Do you agree or disagree?,"
As stated, the topic is based on the assumption that a University degree should be practically oriented. Most people may hope or even believe that after graduating from a university, they will be prepared for the real world. However, all their expectations will possibly become more realistic once they have answered the question: ""What is the aim of higher education?""
Unfortunately, in Bulgaria, the answer was and maybe still is quite different from that of other countries. This was mainly due to the political system which was in power in our country for the last four and a half decades. During that period the attitude to the educational system underwent a considerable change. The socialists made us believe in the close bound between higher education and success in life. They even managed to persuade us that the best thing one could achieve in their life was to become a student. It was such a thorough change of perspective that is still difficult to overcome.
In other countries, however, the distinction has been made between practical and theoretical education. In case a person wishes to be trained in a profession, they go to special colleges.
Otherwise, they enter a University. But when one decides to go in for a University Degree, they are well aware of the fact that what higher education will provide them with is knowledge, rather than abilities to perform a certain kind of job. Thus, they are psychologically prepared for the theoretical models to be presented to them there.
Theorizing has its peculiar characteristics and it is they that the people involved in the process benefit from. The advantages of dealing with theory account for the improvement in the quality of the student's brain.
The most important result of higher education is to provide students with situations which will help them learn to solve all kinds of problems. While studying, students are assigned many tasks to which, in most cases, they are supposed to react quickly and satisfactorily. For this purpose they need to acquire certain strategies. Not only will they learn to find the information they need and compile it in their works, but they will also learn to use their own reason. This is actually the first time in their lives when they will have to solve a ""real"" problem. No matter how insignificant and abstract it may seem to them, the methods they have acquired in dealing with these problems will inevitable be of use to them in the future.
Yet, it is not only the ways of solving problems that a student acquires. They are also supposed to remember certain amount of information. Despite the fact that now the education is mainly concerned with committing particular data to your memory, which you will need to pass your examinations, there are still some positive features accompanying the process. In any case one cannot remember information without seeing the logical connections in it. Most students are striving through the facts they are supposed to remember as trying to understand them. In this respect, one actually makes great use of their brain and, as a result, develops it. The improvement in the quality of their reasoning will certainly greatly contribute to their later life.
As a whole, a University Degree involves theorizing. Thus, it does not prepare students for the real world directly. Nevertheless, it helps improve the quality of the student's thought, which inevitably leads, although indirectly, to their success in life.
",0.49999999999999994
BGSU1007,2.5,2.0,,,,,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
Hard, as our modern times are, they make as proud with one thing only: the technical progress we are all witnesses of. Science takes big steps forward, as well: there is a whole flood of inventions pouring out of the scientific laboratories. It seems as if the amount of inventive people increases with every single minute and while in the past such people were only few and were called geniuses and were looked up to, nowadays they are myriads and are often regarded merely as common people with a great power of imagination.
Due to such ingenious people the modern times could be regarded as times when imagination fuses to a great extent with the dry science. Let me take for an example the so called ""demos"", i.e. images presented on a computer. When I first saw such a thing I was amazed and could not believe that such beautiful thing could be a creation of a single man's mind. What my eyes beheld was a motley play of colours, forms and music. In all my ardour I spontaneously called it ""art"".
However, it was not art. As it turned out later, it was merely the result of a programme made up of several mathematical formulae with constantly changing parametres. In fact, these unbelievably beautiful demos were a product of science, not of imagination. Hence follows the question: if we can no longer tell between art and science, does it mean, then, that the human race has lost its Godlike gift of original creation that finds expression in what we call art, and has yielded to the process of total mechanization. This conclusion is too appalling to be the true one.
The problem of science versus imagination could be regarded from another point of view. To my opinion this technological progress triggers off the imagination in a certain way. To support my statement I would like to turn back to the example with the demos: the computer faced me with pictures that could not possibly be created even in my craziest dreams. They looked so cosmical that I could not believe that a simple human mind was in power to produce them.
At the same time I felt enormously enriched: I saw a new world opening before me and I could feel how my imagination unfurled. However, my fancy flew to nowhere for I realized in a flash that the computer would always be more ingenious for with it one idea would have millions of versions, while with me the idea would remain the One. I felt defeated; I succumed to the power of the machine.
On one hand there was the man who was the real creator of the programme.
On the other hand the demo was nothing but a realization of a firmly set formula that the man had simply learned and applied appropriately.
All things considered, it is the human mind that is in the very start of things. The human being is the one to flash the spark - how - by using their dreams and imagination as a basic sort of ideas.
In the last reckoning, all is in nature and waits there to be found but it is man, not the machine that is to make the invention for the machine lacks one crucial quality: intuition - the sacred inner bond of man with nature. It is mainly this inextricable, deep-rooted quality of man's which justifies the existence and application of notions such as dream and imagination.
",0.49999999999999994
BGSU1008,3.0,2.0,,,,,Most University degrees are theoretical and do not prepare us for the real life. Do you agree or disagree?,"
To live means more than simply to exist. Life requires steady nerves and constant fight. The former is given by nature - one either has it or not; the latter is the result of the clash with the so called real life. There are no written rules for the leading of that life-long battle or if there are such rules, nobody knows for sure if they are valid unless put into practice.
It is claimed that one's life is only partly predictable: Unfortunately the largest part could not be foretold. Therefore, it often happens so that one has inevitably to pass through some hardships in order to understand whether they can survive or not. The more trials one encounters with, the more experienced they become. In that sense life resembles a great university.
The University proper, however, i.e. the university as an institution has quite a different role from that which is alleged to it. Everyone knows, judging from their own experience that theory and practice have very little in common. Moreover, the two often clash for what is on paper is fixed forever while what is in life is subjected to constant change.
Hence ensues all the trouble for everyone who has been a student has asked themselves if not all the time, at least once in their course of education if theory and practice are so irrevocable then what is the use of all the toil and hardships, of all those sleepless nights, sore eyes and spiritual tortures. In two words: what is the use of all this physical and moral torment that one undergoes as a student?
Unfortunately, the answer to this question is to remain in the theoretical sphere, therefore the purpose of university education is to be sought in the other field than the pure material realization of the acquired knowledge.
To my mind, the university degrees are meant to be and could not but be theoretical for the university education aims at the development of skills that have to do with one's psychic adaptation to the real world. The popular maxim that body follows the mind is to be suitably applied here for there is no such thing as objective world - everything in one's environment is the produce and reflection of one's own idea of it. In this sense the university provides a good course in positive thinking - a quality which, to me, is crucial for one's survival in the ""real world"".
In addition to that University degrees are given to ascertain one's ability to think, for the other important role of the university study is to teach students how to think: to develop their mental abilities, i.e. the ability to make logical connections, to find a way out of a difficult situation, to come to reasonable conclusions. These are qualities which are of absolute necessity in life.
Therefore, the university degrees proper are of little value when trying to find oneself some kind of a job but the acquired abilities they stand for are what really matters. For these abilities are important not only for making one's way in the real life but also for building up one's personality.
",0.6666666666666667
BGSU1009,3.0,,,,,,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
The world we live in is obsessed with the achievements of science, technology and industrialization. The modern civilization has created incommunicative, impatient, narrow-minded people that do not care for the history but only for their well-being. The fact is that we have ceased to be spiritual and simple beings and have turned into too practical, down-to-earth people.
That is why there is no longer place for imagination and dreaming in our present life.
According to me, the modern technologically dominated world has made us feel more isolated and more desperate because we have lost our vital connection with our soul and our contact with the people that surround us. Our technological age is on the way to dehumanize us and turn us into frieks obsessed with speed, perfection and materialism. TV, for example, encourages not thinking by keeping people glued to the set, offering them beautiful images and ready-made ideas. People no longer care for reading and intellectual talks because in our speed-obsessed world they do not have the time and desire to spend hours with them.
More and more people are beginning to ask the question ""Do we really need all these technological achievements to live happily?"" And more and more of them answer it negatively.
Those people educate their children to hate commercialism and to respect their relationship with the people, they encourage their children to live with animals in order to be closer to Nature, they encourage talents and positive thinking. And maybe these young people will be deprived from the sense of chaos and helplessness that is characteristic to our present life and maybe they will develop in themselves the old human values and will be really complete human beings. And maybe this generation and the next to follow will no longer feel entrapped and isolated from the essential things in life. And I merely envy these people because they will live nearer to the Nature, will gain satisfaction from everyday life, will lead a healthier life than us and will have relationships with each other based on understanding, patience, love. Let's hope that this dream comes true and that the balance between the spiritual and material aspects of human nature be restored for the well-being of us all.
",0.6666666666666667
BGSU1011,3.0,2.5,,,,,"Some people say that in our modern world, dominated by science and technology and industrialisation, there is no longer a place for dreaming and imagination. What is your opinion?","
Most people would probably say that in our modern world, dominated by science and technology, there is no room for dreaming and imagination. This is not so, however; dreaming is an indispensable part of our culture, of the whole Western civilization. Just imagine, for example, what would happen to Freud's ""Interpretation of Dreams"", indeed to the whole tribe of psychoanalysts, if we did not dream at all.
Almost each facet of the Western culture has something to do with dreaming and imagination.
The loud-mouthed politician, who glibly promises us that we will live better in the future if we would elect him, exists as a result of our dreams of wealth and happiness. The whole output of Hollywood film-makers plays upon the fancy of man. It is the same case with novel-writers and copywriters. The pretty doll from the TV screen, advertising a new make of pantyhose, the belligerent yahoo brandishing a Gillette razor - they all exploit our capacity for imagination and would not exist without it. Computer games, VR games, games of billiards and games of poker, games here and games there ... -it takes imagination everywhere.
The whole industrialized and commercialized reality toys with this mental ability of ours. It takes great pains to cherish and develop this particular kind of imagination, which I shall term ""fancy"".
The reason for this is obvious; unless supported by fancy, the neat system of cheating people out of their money will collapse. Besides fancy, there is another kind of imagination, which shall be called ""imagination proper"". While fancy is essentially static in nature, the mere ability to conjure up agreeable images in the mind just for the fun of it, imagination proper is the active, creative power, the tool for going beyond the surface of things. Fancy is consumer-characteristic and imagination proper artist-characteristic.
Imagination proper is more powerful and prolific. Unlike fancy, it exploits the media and the ability of man to fancy things. Without it, no ads would ever be made - or, at least, not such sophisticated and crafty ones - no novels would ever be written, no films would ever be produced, no computer games would ever be made... Imagination proper is what has made the existence of VR games and Einstein's Theory of Relativity possible. It is what gives colour to our drab, monotonous lives; adds spice to our tasteless existence.
Once a goal only for writers and painters, imagination proper has now been aspired after by all members of society. No wonder, as it is the tool which may change an exploited into an exploiter.
The pilgrimage to intellect, in addition, is being encouraged by certain modern trends in literature and other kinds of fiction. For example, the good guy in most films is no longer the muscular, first- class shot but the intellectual - usually a lawyer or a doctor - who has to face a titan of craft and evil. The fact that their struggle is rather intellectual than merely physical, is indicative of the emerging of a new set of social values - a set which gives priority to intellect and creativity.
So, in conclusion, it must be pointed out that vivid imagination, imagination proper in particular, is not only a desirable but also an invaluable quality of the mind, which helps us survive in and make good use of our complex, ""mechanical"" reality.
",0.6666666666666667
