BGSU1001	3.0,3.5,2.0,2.0,3.0,2.5
BGSU1002	3.0,3.0,3.0,3.0,4.0,4.0
BGSU1003	2.5,2.5
BGSU1004	3.0,3.0,3.0,3.0,2.5,3.5
BGSU1005	3.0,3.0
BGSU1006	2.5,3.0
BGSU1007	2.5,2.0
BGSU1008	3.0,2.0
BGSU1009	3.0
BGSU1011	3.0,2.5
BGSU1012	3.5,3.0
BGSU1013	3.0,2.5,2.5,2.5,3.5
BGSU1014	3.0,2.0
BGSU1015	2.5,3.5
BGSU1017	3.0,2.0
BGSU1018	2.5,2.5
BGSU1021	3.0,3.5
BGSU1022	3.0
BGSU1023	3.5
BGSU1024	2.5,3.0
BGSU1026	3.0,3.0
BGSU1028	3.0,2.5
BGSU1030	3.5,3.5
BGSU1031	3.0,2.0
BGSU1034	3.0,3.5
BGSU1035	3.5,3.0
BGSU1036	2.5,3.5
BGSU1037	3.5,3.5
BGSU1039	3.0
BGSU1040	2.5,3.0
BGSU1041	2.5,1.5
BGSU1042	3.0,3.0
BGSU1044	4.0,3.5
BGSU1045	3.5,3.5
BGSU1049	3.0,2.5
BGSU1050	3.0,1.5
BGSU1051	3.0,2.0
BGSU1052	3.0
BGSU1053	3.0,3.0,1.0,2.0,2.5,3.0
BGSU1054	3.0,2.0
BGSU1057	2.5,2.5
BGSU1058	3.0,2.5
BGSU1059	2.5
BGSU1062	3.5,2.0
BGSU1063	3.0
BGSU1065	3.5,3.0
BGSU1066	3.0,2.0
BGSU1067	3.0,3.0
BGSU1071	3.0
BGSU1073	2.5,3.0
BGSU1074	3.5
BGSU1076	3.5,2.5
BGSU1077	2.5
BGSU1078	2.5
BGSU1080	3.0,3.0
BGSU1081	2.5,2.0
BGSU1082	3.0,3.0
BGSU1083	3.0,3.0
BGSU1085	3.5,3.5
BGSU1086	3.5,2.0
BGSU1087	3.5,4.0
BGSU1088	3.0
BGSU1089	3.5
BGSU1091	2.5
BGSU1092	2.5,2.0
BGSU1095	3.0,2.0
BGSU1096	3.0
BGSU1097	2.5,2.5
BGSU1098	3.0
BGSU1100	3.0
BGSU1101	2.0,2.5
BGSU1102	3.0,2.0
BGSU1104	3.0,3.0
BGSU1105	3.5,2.5
BGSU1106	3.0,2.5
BGSU1107	3.0,2.5,2.0,2.0,1.0,2.5
BGSU1108	4.0,4.0
BGSU1109	3.5,4.0
BGSU1110	3.0,3.5
BGSU1114	3.0
BGSU1118	3.0
BGSU1119	3.0,2.5
BGSU1122	2.0,2.0
BGSU1123	2.0,2.5
BGSU1124	3.5,3.0
BGSU1125	3.5,3.5
BGSU1127	3.5,4.0
BGSU1129	2.0,2.0
BGSU1130	2.0,2.5
BGSU1135	3.0,3.0
BGSU1136	2.5,2.5
BGSU1138	2.5,2.5,2.5
BGSU1139	3.0
BGSU1140	3.0,2.5
BGSU1142	3.5,2.0
BGSU1143	3.5,3.0
BGSU1144	3.0,2.5
BGSU1145	3.0,2.5
BGSU1146	2.5,3.5
BGSU1150	3.5
BGSU1152	3.0,2.5
BGSU1157	3.0,3.0,2.0
BGSU1165	3.0,2.0
BGSU1173	3.0,3.5
BGSU1174	4.0,3.5
BGSU1177	3.0,2.0
BGSU1179	4.0,3.0
BGSU1180	3.0,2.5
BGSU1183	3.0
BGSU1184	2.5
BGSU1187	3.0
BGSU1188	2.5,3.0
BGSU1189	3.0,2.5,2.0,1.5,2.0,2.0
BGSU1194	3.5,3.5
BGSU1200	2.5,2.5
BGSU1205	3.5,2.0,3.0
BGSU1208	3.0,2.5
BGSU1211	3.5,1.0
BGSU1212	3.0,2.5
BGSU1213	3.0,2.5
BGSU1216	3.5,3.0
BGSU1217	3.0,3.5
